Video ID,Video Title,Comment,Sentiment,Positive,Neutral,Negative
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Nice... 9 hours reading ChatGPT outputs 😂,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"That's 10 hours of just impeccably produced talking heads though, there have been better courses here.",0.4404,0.162,0.838,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,01:06,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Forgive my ignorance but is this is the same as the Google data analytics course? Cloud makes it different?,-0.1431,0.075,0.823,0.102
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,I have not cs degree will i get job in tech company please reply me,0.3182,0.161,0.839,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Please come up with GCP Data Engineer course,0.3182,0.247,0.753,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Is this from Coursera?,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,is Certificate free or i need to purchase,0.5106,0.355,0.645,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"i just searched for it yesterday, hooooooowwwwww",0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"For what it is worth, good luck to those taking this course",0.7783,0.464,0.536,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Does anyone know what kind of certification you are awarded for completing this course? I want to make certain to not start this if I already have have completed this certificate,0.6249,0.19,0.81,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,It's only theory video & no  hands on practical video 😮,-0.296,0,0.784,0.216
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,will we get a certificate in the end?,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,This course is full time theoretical and not the practical one..,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,so the course is people talking and some visuals but not real hands on work?,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"Impeccable timing on this course, looks like the Google Cloud engineers could use this course themselves 🙃",0.3612,0.143,0.857,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,I'm new to fcc. Can anybody explain me how to take this course?. Like should we write exam after this yt video for certification?,0.4329,0.111,0.889,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Amazing thank you ❤,0.743,0.863,0.137,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Wooww freecodecamp. You made my day . Whenever I see your notifications it makes me so excited to learn. But little difficult to intiate😅,-0.1907,0.083,0.804,0.113
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Thank you so much free code camp ❤❤❤❤❤❤❤❤❤❤❤❤,0.7251,0.503,0.497,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"5 minutes into the course I haven't heard a lick of the most sought after word in the whole tech world today - AI.

How old is this course? 😂",0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"Is there like a course for business analyst 
Will that certification be valid?",0.3612,0.185,0.815,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"Thank you, guys! I needed this course for a job upgrade.",0.4199,0.259,0.741,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Very nice cource ❤,0.4754,0.607,0.393,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,"Was just thinking about this 
Thank you ❤",0.4357,0.324,0.676,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,first comment 🎉❤,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,Good job done,0.4404,0.592,0.408,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,1st comment,0,0,1,0
GAdgTK2Esn4,Google Cloud Data Analytics Certificate Course,😊,0,0,0,0
